Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
7/3/2015,3465,15695,11.66,22,648,248,63,54,1947,438,45,22,488,7.24518586,Friday,4,1,7.3,89.75409836,6.883333333,90.969163,July,7
7/4/2015,2894,9747,7.24,8,646,253,22,19,1337,277,42,15,320,4.49872604,Saturday,5,0,4.616666667,86.5625,7.3,89.75409836,July,7
7/5/2015,3515,15731,11.69,17,567,317,52,55,2111,291,22,17,317,7.26382699,Sunday,6,0,4.85,91.79810726,4.616666667,86.5625,July,7
7/6/2015,2699,8391,6.23,11,877,136,36,30,1082,370,26,14,444,3.87114133,Monday,0,1,6.166666667,83.33333333,4.85,91.79810726,July,7
7/7/2015,274,8326,6.19,11,1.118,217,10,3,1106,455,21,13,482,3.84628649,Tuesday,1,1,7.583333333,94.39834025,6.166666667,83.33333333,July,7
7/8/2015,3244,14241,10.58,14,700,234,22,59,1662,311,19,11,333,6.57410518,Wednesday,2,1,5.183333333,93.39339339,7.583333333,94.39834025,July,7
7/9/2015,2994,7298,5.42,6,836,290,10,1,1322,550,44,19,594,3.36783082,Thursday,3,1,9.166666667,92.59259259,5.183333333,93.39339339,July,7
7/10/2015,3134,10644,7.91,15,683,283,36,17,1606,368,57,27,431,4.91504461,Friday,4,1,6.133333333,85.38283063,9.166666667,92.59259259,July,7
7/11/2015,3191,12371,9.19,11,639,194,46,60,1589,250,19,13,282,5.71039949,Saturday,5,0,4.166666667,88.65248227,6.133333333,85.38283063,July,7
7/12/2015,281,758,5.63,10,607,258,16,0,1201,76,10,7,92,3.49831873,Sunday,6,0,1.266666667,82.60869565,4.166666667,88.65248227,July,7
7/13/2015,3259,12168,9.04,18,731,212,52,60,1725,360,39,18,425,5.61719384,Monday,0,1,6,84.70588235,1.266666667,82.60869565,July,7
7/14/2015,3383,15135,11.28,20,740,167,47,87,1813,248,12,7,261,7.00906488,Tuesday,1,1,4.133333333,95.01915709,6,84.70588235,July,7
7/15/2015,3569,14996,11.14,32,573,321,50,54,2155,410,52,27,463,6.92207294,Wednesday,2,1,6.833333333,88.55291577,4.133333333,95.01915709,July,7
7/16/2015,3017,8704,6.47,14,697,225,31,29,1392,465,31,16,501,4.02027037,Thursday,3,1,7.75,92.81437126,6.833333333,88.55291577,July,7
7/17/2015,3228,12739,9.47,16,761,247,47,47,1733,406,22,17,435,5.88438337,Friday,4,1,6.766666667,93.33333333,7.75,92.81437126,July,7
7/18/2015,3352,13247,9.84,20,484,317,31,47,191,347,29,15,385,6.11429064,Saturday,5,0,5.783333333,90.12987013,6.766666667,93.33333333,July,7
7/19/2015,3237,1166,8.66,10,680,286,5,53,1703,362,24,14,393,5.38107286,Sunday,6,0,6.033333333,92.11195929,5.783333333,90.12987013,July,7
7/20/2015,3278,13702,10.18,21,708,246,48,43,1775,418,20,11,438,6.32555678,Monday,0,1,6.966666667,95.43378995,6.033333333,92.11195929,July,7
7/21/2015,304,1124,8.35,17,732,208,52,24,1438,411,31,11,451,5.18844785,Tuesday,1,1,6.85,91.1308204,6.966666667,95.43378995,July,7
7/22/2015,3071,13262,9.85,20,1.093,166,33,70,1495,304,28,16,338,6.12050435,Wednesday,2,1,5.066666667,89.9408284,6.85,91.1308204,July,7
7/23/2015,2984,909,6.75,17,719,234,23,23,1349,343,50,24,398,4.19425425,Thursday,3,1,5.716666667,86.18090452,5.066666667,89.9408284,July,7
7/24/2015,3468,15779,11.72,23,618,346,48,21,2073,368,18,10,391,7.28246812,Friday,4,1,6.133333333,94.11764706,5.716666667,86.18090452,July,7
